,,,,,,,,,,,
Entry number,Band,Name of single,Year single released,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
33,Mineral,Gloria,1997,Houston,Texas,TX,1994,1998,29.786,-95.3885,https://en.wikipedia.org/wiki/Mineral_(band) https://www.discogs.com/artist/573453-Mineral?srsltid=AfmBOoo6sXwvAiF8Y-F4TqwzNtWt2YJsDWt3iD_r8zVG6QIM0yfc-vQH
32,Dag Nasty,Circles,1986,Washington,District of Columbia,DC,1985,1988,38.9047,-77.0163,https://en.wikipedia.org/wiki/Dag_Nasty
31,Alkaline Trio,Bleeder,1998,Chicago,Illinois,IL,1996,2026,41.8375,-87.6866,https://en.wikipedia.org/wiki/Alkaline_Trio
30,Cursive,The Recluse,2003,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,https://www.discogs.com/artist/254433-Cursive
29,Motion City Soundtrack,L.G. FUAD,2005,Minneapolis,Minnesota,MN,1997,2016,44.9635,-93.2678,https://en.wikipedia.org/wiki/Motion_City_Soundtrack
28,Don Martin Three,Transistor,1996,St. Augustine,Florida,FL,1993,1996,29.8976,-81.31,https://sophiesfloorboard.blogspot.com/2018/11/don-martin-three.html
27,Everyone Everywhere,I Feel Exhausted,2012,Philadelphia,Pennsylvania,PA,2007,2016,40.0077,-75.1339,https://en.wikipedia.org/wiki/Everyone_Everywhere * https://www.setlist.fm/setlists/everyone-everywhere-63deb6ff.html
26,Drive Like Jehu,Do You Compute,1994,San Diego,California,CA,1990,1995,32.8313,-117.1222,https://en.wikipedia.org/wiki/Drive_Like_Jehu
25,Pedro the Lion,Options,2002,Seattle,Washington,WA,1995,2006,47.6211,-122.3244,https://en.wikipedia.org/wiki/Pedro_the_Lion
24,City of Caterpillar,And You’re Wondering How a Top Floor Could Replace Heaven,2002,Richmond,Virginia,VA,2000,2003,37.5295,-77.4756,https://en.wikipedia.org/wiki/City_of_Caterpillar
23,The Hotelier,Your Deep Rest,2014,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,https://en.wikipedia.org/wiki/The_Hotelier
22,Dashboard Confessional,Hands Down,2003,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,https://en.wikipedia.org/wiki/Dashboard_Confessional
21,Taking Back Sunday,A Decade Under the Influence,2004,Amityville,New York,NY,1999,2026,40.6696,-73.4156,https://en.wikipedia.org/wiki/Taking_Back_Sunday
20,Piebald,American Hearts,2002,Andover,Massachusetts,MA,1994,2008,42.6627,-71.1447,https://www.discogs.com/artist/355454-Piebald
19,Indian Summer,Angry Son,1993,Oakland,California,CA,1993,1994,37.7904,-122.2166,https://en.wikipedia.org/wiki/Indian_Summer_(American_band)
18,Christie Front Drive,Radio,1997,Denver,Colorado,CO,1993,1997,39.762,-104.8758,https://en.wikipedia.org/wiki/Christie_Front_Drive
17,Straylight Run,Existentialism on Prom Night,2004,Baldwin,New York,NY,2003,2010,40.6511,-73.6075,https://en.wikipedia.org/wiki/Straylight_Run
16,Jawbox,Savory,1994,Washington,District of Columbia,DC,1989,1997,38.9047,-77.0163,https://en.wikipedia.org/wiki/Jawbox
15,The Promise Ring,Is This Thing On?,1997,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,https://en.wikipedia.org/wiki/The_Promise_Ring
14,Taking Back Sunday,Cute Without the E (Cut From the Team),2002,Amityville,New York,NY,1999,2026,40.6696,-73.4156,https://en.wikipedia.org/wiki/Taking_Back_Sunday
13,The Get Up Kids,Action & Action,1999,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,https://en.wikipedia.org/wiki/The_Get_Up_Kids
12,Rainer Maria,Planetary,1999,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,https://www.discogs.com/artist/533479-Rainer-Maria
11,Sunny Day Real Estate,In Circles,1994,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,https://en.wikipedia.org/wiki/Sunny_Day_Real_Estate
10,Hop Along,Tibetan Pop Stars,2012,Philadelphia,Pennsylvania,PA,2005,2026,40.0077,-75.1339,https://en.wikipedia.org/wiki/Hop_Along
9,My Chemical Romance,Helena,2004,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,https://en.wikipedia.org/wiki/My_Chemical_Romance
8,Algernon Cadwallader,Some Kind of Cadwallader,2008,Yardley,Pennsylvania,PA,2005,2012,40.2408,-74.8386,https://en.wikipedia.org/wiki/Algernon_Cadwallader
7,Rites of Spring,Deeper Than Inside,1985,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Rites_of_Spring
6,Paramore,That’s What You Get,2007,Franklin,Tennessee,TN,2004,2025,35.92,-86.8516,https://en.wikipedia.org/wiki/Paramore
5,Sunny Day Real Estate,Seven,1994,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,https://en.wikipedia.org/wiki/Sunny_Day_Real_Estate
4,Jimmy Eat World,Sweetness,2001,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,https://en.wikipedia.org/wiki/Jimmy_Eat_World_discography
3,Cap’n Jazz,Little League,1995,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,https://www.discogs.com/artist/690592-Capn-Jazz
2,Jawbreaker,Accident Prone,1995,East Bay,California,CA,1986,1996,37.8272,-122.2913,https://en.wikipedia.org/wiki/Jawbreaker_(band)
1,American Football,Never Meant,1999,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,https://www.discogs.com/artist/312291-American-Football
