,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
The Saddest Landscape,Boston,Massachusetts,MA,2002,2005,42.3188,-71.0852,https://en.wikipedia.org/wiki/The_Saddest_Landscape
The New Amsterdams,Lawrence,Kansas,KS,2000,2014,38.9597,-95.2642,https://en.wikipedia.org/wiki/The_New_Amsterdams
La Dispute,Grand Rapids,Michigan,MI,2004,2026,42.9619,-85.6562,https://en.wikipedia.org/wiki/La_Dispute_(band)
Jawbox,Washington,District of Columbia,DC,1989,1997,38.9047,-77.0163,https://en.wikipedia.org/wiki/Jawbox
Knuckle Puck,Chicago,Illinois,IL,2010,2026,41.8375,-87.6866,https://en.wikipedia.org/wiki/Knuckle_Puck
Jejune,Boston,Massachusetts,MA,1996,2000,42.3188,-71.0852,https://en.wikipedia.org/wiki/Jejune
The Lawrence Arms,Chicago,Illinois,IL,1999,2026,41.8375,-87.6866,https://en.wikipedia.org/wiki/The_Lawrence_Arms
It Looks Sad.,Charlotte,North Carolina,NC,2012,2026,35.2083,-80.8303,https://en.wikipedia.org/wiki/It_Looks_Sad.
The Story So Far,Walnut Creek,California,CA,2007,2026,37.9024,-122.0399,https://en.wikipedia.org/wiki/The_Story_So_Far_(band)
One Last Wish,Washington,District of Columbia,DC,1986,1987,38.9047,-77.0163,https://en.wikipedia.org/wiki/One_Last_Wish
Bear Vs. Shark,Highland,Michigan,MI,2001,2005,42.6381,-83.6172,https://en.wikipedia.org/wiki/Bear_vs._Shark
Moneen,Brampton,Ontario,ON,1999,2026,43.6882,-79.763,https://en.wikipedia.org/wiki/Moneen
Remo Drive,Bloomington,Minnesota,MN,2013,2026,44.8306,-93.3151,https://en.wikipedia.org/wiki/Remo_Drive
Basement,Ipswich,Suffolk,EG,2009,2012,52.0597,1.1481,https://en.wikipedia.org/wiki/Basement_(band)
Slaughter Beach* Dog,Philadelphia,Pennsylvania,PA,2014,2026,40.0077,-75.1339,"https://en.wikipedia.org/wiki/Slaughter_Beach,_Dog"
mewithoutYou,Philadelphia,Pennsylvania,PA,2001,2022,40.0077,-75.1339,https://en.wikipedia.org/wiki/MewithoutYou
Somos,Boston,Massachusetts,MA,2012,2016,42.3188,-71.0852,https://en.wikipedia.org/wiki/Somos_(band)
Mat Kerekes,Toledo,Ohio,OH,2011,2026,41.6638,-83.5827,https://en.wikipedia.org/wiki/Mat_Kerekes
Glassjaw,Hempstead,New York,NY,1993,2026,40.7061,-73.6188,https://en.wikipedia.org/wiki/Glassjaw
Sparta,El Paso,Texas,TX,2001,2008,31.8476,-106.43,https://en.wikipedia.org/wiki/Sparta_(band)
Fiddlehead,Boston,Massachusetts,MA,2014,2026,42.3188,-71.0852,https://en.wikipedia.org/wiki/Fiddlehead_(band)
Ethel Meserve,State College,Pennsylvania,PA,1994,1998,40.7909,-77.8567,https://sophiesfloorboard.blogspot.com/2019/05/ethel-meserve.html
Defeater,Boston,Massachusetts,MA,2008,2026,42.3188,-71.0852,https://en.wikipedia.org/wiki/Defeater_(band)
Straylight Run,Baldwin,New York,NY,2003,2010,40.6511,-73.6075,https://en.wikipedia.org/wiki/Straylight_Run
Turnover,Virginia Beach,Virginia,VA,2009,2026,36.7335,-76.0435,https://en.wikipedia.org/wiki/Turnover_(band)
Q And Not U,Washington,District of Columbia,DC,1998,2005,38.9047,-77.0163,https://en.wikipedia.org/wiki/Q_and_Not_U
Hot Mulligan,Lansing,Michigan,MI,2014,2026,42.7142,-84.5601,https://en.wikipedia.org/wiki/Hot_Mulligan
Such Gold,Rochester,New York,NY,2009,2026,43.168,-77.6162,https://en.wikipedia.org/wiki/Such_Gold
Fireworks,Detroit,Michigan,MI,2004,2015,42.3834,-83.1024,https://en.wikipedia.org/wiki/Fireworks_(punk_band)
Can't Swim,Keansburg,New Jersey,NJ,2015,2026,40.4469,-74.1315,https://en.wikipedia.org/wiki/Can%27t_Swim
Loma Prieta,San Francisco,California,CA,2005,2026,37.7558,-122.4449,https://en.wikipedia.org/wiki/Loma_Prieta_(band)
The Obsessives,Washington,District of Columbia,DC,2013,2026,38.9047,-77.0163,https://en.wikipedia.org/wiki/The_Obsessives
I Am The Avalanche,Brooklyn,New York,NY,2004,2026,40.6501,-73.9496,https://en.wikipedia.org/wiki/I_Am_the_Avalanche
Aaron West and The Roaring Twenties,Philadelphia,Pennsylvania,PA,2014,2026,40.0077,-75.1339,https://en.wikipedia.org/wiki/Aaron_West_and_the_Roaring_Twenties
Circa Survive,Philadelphia,Pennsylvania,PA,2004,2022,40.0077,-75.1339,https://en.wikipedia.org/wiki/Circa_Survive
Boys Night Out,Burlington,Ontario,ON,2001,2016,43.3255,-79.799,https://en.wikipedia.org/wiki/Boys_Night_Out_(band)
Jank,Philadelphia,Pennsylvania,PA,2015,2016,40.0077,-75.1339,https://en.wikipedia.org/wiki/Jank_(band)
Drug Church,Albany,New York,NY,2011,2026,42.6664,-73.7987,https://en.wikipedia.org/wiki/Drug_Church
Hot Cross,Philadelphia,Pennsylvania,PA,2000,2007,40.0077,-75.1339,https://en.wikipedia.org/wiki/Hot_Cross
No Knife,San Diego,California,CA,1993,2003,32.8313,-117.1222,https://en.wikipedia.org/wiki/No_Knife
Dismemberment Plan,Washington,District of Columbia,DC,1993,2003,38.9047,-77.0163,https://en.wikipedia.org/wiki/The_Dismemberment_Plan
Engine Down,Richmond,Virginia,VA,1996,2005,37.5295,-77.4756,https://en.wikipedia.org/wiki/Engine_Down
Head Automatica,Brooklyn,New York,NY,2003,2012,40.6501,-73.9496,https://en.wikipedia.org/wiki/Head_Automatica
Burning Airlines,Washington,District of Columbia,DC,1997,2002,38.9047,-77.0163,https://en.wikipedia.org/wiki/Burning_Airlines
Twelve Hour Turn,Jacksonville,Florida,FL,1996,2002,30.3322,-81.6749,https://twelvehourturn.bandcamp.com/
Brandtson,Cleveland,Ohio,OH,1996,2008,41.4764,-81.6805,https://en.wikipedia.org/wiki/Brandtson
Pretty Girls Make Graves,Seattle,Washington,WA,2001,2007,47.6211,-122.3244,https://en.wikipedia.org/wiki/Pretty_Girls_Make_Graves
Northstar,Huntsville,Alabama,AL,1997,2005,34.6981,-86.6412,https://en.wikipedia.org/wiki/Northstar_(band)
Quicksand,New York City,New York,NY,1990,1995,40.7128,-74.006,https://en.wikipedia.org/wiki/Quicksand_(American_band)
Fairweather,Fairfax,Virginia,VA,1999,2003,38.8531,-77.2997,https://en.wikipedia.org/wiki/Fairweather_(band)
The Forecast,Peoria,Illinois,IL,2001,2017,40.752,-89.6154,https://en.wikipedia.org/wiki/The_Forecast
My Chemical Romance,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,https://en.wikipedia.org/wiki/My_Chemical_Romance
Jeremy Enigk,Seattle,Washington,WA,1996,2026,47.6211,-122.3244,https://en.wikipedia.org/wiki/Jeremy_Enigk
Chamberlain,Bloomington,Indiana,IN,1989,2000,39.1637,-86.5257,https://en.wikipedia.org/wiki/Chamberlain_(band)
Vitreous Humor,Topeka,Kansas,KS,1990,1996,39.0346,-95.6955,https://en.wikipedia.org/wiki/Vitreous_Humor_(band)
Fall Out Boy,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,https://en.wikipedia.org/wiki/Fall_Out_Boy
The Van Pelt,New York City,New York,NY,1993,1997,40.7128,-74.006,https://www.discogs.com/artist/782965-The-Van-Pelt
Forests,Singapore,Singapore,SG,2014,2026,1.3521,103.8198,https://grandmasophiascookies.com/2022/04/29/in-conversation-forests-talk-making-vultures-top-100-emo-songs-list-and-putting-together-their-kick-ass-new-album/
The Format,Peoria,Arizona,AZ,2002,2008,33.7843,-112.2989,https://en.wikipedia.org/wiki/The_Format
Boy Rex,Traverse City,Michigan,MI,2015,2019,44.7546,-85.6038,https://www.jackmsenff.com/ * https://theboyrex.bandcamp.com/album/the-bloodmonths
Love of Everything,Chicago,Illinois,IL,2003,2013,41.8375,-87.6866,https://loveofeverything.bandcamp.com/
